#小鹤音形文本码表for PC搜狗拼音自定义短语
#用户许可协议：
#1.何海峰为“小鹤双拼、小鹤音形”输入方案的作者。
#2.本码表受著作权保护，只限您私人使用，不得修改和发布。
#3.未经授权，不得将本码表用于商业用途。
#著作权人：何海峰
#官方网站：flypy.com   QQ群：182883808
#本表贴入搜狗拼音自定义短语使用
jike,1=即可
vidc,1=知道
ving,1=只能
jmdj,1=简单
jisr,1=计算
yixx,1=一下
yivi,1=一直
yidk,1=一定
viui,1=只是
anui,1=按时
erui,1=而是
igww,1=成为
xnui,1=小时
jmvi,1=简直
mcsi,1=貌似
jkcd,1=精彩
rfwu,1=任务
uijm,1=时间
uvpk,1=水平
uiui,1=试试
ufsi,1=神似
irts,1=传统
tdwj,1=台湾
fjyk,1=反应
mwvz,1=每周
lmxi,1=联系
xmjb,1=现金
qijm,1=期间
jiqi,1=极其
zdxm,1=在线
vihv,1=只会
yipm,1=一片
mwli,1=美丽
jiww,1=几位
a,1=啊
anf,1=按
an,1=安
anb,1=案
ai,1=爱
aa,1=阿
ao,1=奥
ane,1=岸
aod,1=澳
ait,1=埃
aic,1=艾
aiuc,1=碍
aib,1=癌
ano,1=暗
ah,1=昂
aor,1=傲
angn,1=鞍
aiw,1=哀
anq,1=氨
aif,1=挨
anr,1=俺
aof,1=熬
aiu,1=矮
aol,1=凹
ahy,1=盎
anon,1=胺
aie,1=隘
aofa,1=鳌
anj,1=铵
any,1=谙
ang,1=庵
aicv,1=蔼
aofw,1=敖
aao,1=腌
anh,1=黯
aoz,1=遨
aik,1=唉
aog,1=鏖
aop,1=袄
aibj,1=皑
aikx,1=哎
aot,1=坳
aob,1=翱
aok,1=嗷
aho,1=肮
aofl,1=拗
aox,1=懊
aoy,1=岙
and,1=鹌
aiy,1=霭
aiyv,1=霭
aakw,1=嗄
aofi,1=螯
aofm,1=骜
aio,1=暧
anm,1=桉
ain,1=嫒
aofq,1=獒
aiky,1=嗳
aofj,1=鏊
aak,1=吖
aiwy,1=瑷
ant,1=埯
aaj,1=锕
aikm,1=嗌
aon,1=媪
aogw,1=廒
aofe,1=聱
anqg,1=犴
aij,1=锿
aijy,1=锿
aiux,1=砹
ais,1=欸
ahp,1=卬
aiey,1=叆
aiuw,1=毐
aiua,1=毐
ank,1=唵
antn,1=垵
ana,1=𩽾
anrm,1=盦
aow,1=璈
aoa,1=奡
aoe,1=隩
anbn,1=安
anfn,1=按
aip,1=爱
aae,1=阿
aneg,1=岸
aopd,1=奥
aodd,1=澳
aitu,1=埃
aicx,1=艾
aakk,1=啊
aibe,1=癌
anoo,1=暗
ahoe,1=昂
aorw,1=傲
anqn,1=氨
anrd,1=俺
aofh,1=熬
aiun,1=矮
aola,1=凹
ahym,1=盎
aiem,1=隘
anyo,1=谙
angd,1=庵
aaod,1=腌
anho,1=黯
aozw,1=遨
aogj,1=鏖
aopy,1=袄
aotl,1=坳
aobx,1=翱
aokw,1=嗷
ahoj,1=肮
aoxd,1=懊
andn,1=鹌
aioy,1=暧
anmn,1=桉
ainy,1=嫒
aaky,1=吖
aajk,1=锕
aonm,1=媪
aisr,1=欸
ahpe,1=卬
ankd,1=唵
aoww,1=璈
aoal,1=奡
aoed,1=隩
aipy,1=爱
aaek,1=阿
aq,1=安全
av,1=按照
ap,1=安排
ac,1=按错
au,1=按时
aj,1=安静
ag,1=昂贵
ad,1=安定
aw,1=安慰
ax,1=爱惜
ab,1=安保
af,1=安分
ak,1=拗口
al,1=按理
ar,1=黯然
as,1=暗算
at,1=凹凸
ay,1=安逸
az,1=暗自
am,1=暧昧
ae,1=挨饿
aaba,1=阿爸
aadb,1=嗷嗷待哺
aage,1=阿哥
aaha,1=啊哈
aajj,1=安安静静
aala,1=阿拉
aamw,1=阿妹
aama,1=阿妈
aamj,1=阿曼
aamf,1=阿门
aapo,1=阿婆
aapp,1=矮矮胖胖
aaqq,1=安安全全
aavi,1=AA制
aaww,1=安安稳稳
aayi,1=阿姨
aaya,1=啊呀
aayo,1=啊哟
aaxx,1=安安心心
aaza,1=腌臜
abai,1=爱不爱
abbd,1=按兵不动
abbu,1=哀兵必胜
abdg,1=安邦定国
abdi,1=安步当车
abdy,1=阿鼻地狱
abgo,1=熬不过
abhz,1=阿布哈兹
